slno,question,sql
69,"""What are the recent tweets about the Hualien earthquake, along with their sentiment scores?""","""SELECT tweet_text, sentiment_score
FROM Disaster_Tweets
WHERE location LIKE '%Hualien%' AND tweet_text LIKE '%earthquake%'
ORDER BY timestamp DESC;"""

70,"""Retrieve the tweets with the highest retweet count related to the Hualien earthquake.""","""SELECT tweet_text, retweet_count
FROM Disaster_Tweets
WHERE location LIKE '%Hualien%' AND tweet_text LIKE '%earthquake%'
ORDER BY retweet_count DESC
LIMIT 3;"""

71,"""List the types of natural disasters that have affected the Hualien area, along with the affected population and relief status for each disaster.""","""SELECT d.disaster_type, d.affected_population, d.relief_status
FROM Disaster_Information d
WHERE d.location LIKE '%Hualien%';"""

72,"""Show the infrastructure status for the areas affected by the most recent earthquake in Hualien.""","""SELECT d.affected_areas, d.infrastructure_status
FROM Damage_Assessment d
WHERE d.damage_type = 'Earthquake' AND d.location LIKE '%Hualien%'
ORDER BY d.timestamp DESC
LIMIT 1;"""

73,"""Find the emergency contacts who can provide psychological support services in Hualien.""","""SELECT contact_info, organization_name, designation
FROM Emergency_Contacts
WHERE location LIKE '%Hualien%' AND contact_type LIKE '%Psychological Support%';"""

74,"""List the community support services offering counseling services in Hualien, along with their service hours.""","""SELECT service_type, description, service_hours
FROM Community_Support_Services
WHERE location LIKE '%Hualien%' AND description LIKE '%counseling%';"""

75,"""Show the emergency response plans for earthquake disasters in Hualien, including their descriptions and responsible agencies.""","""SELECT plan_type, description, responsible_agency
FROM Emergency_Response_Plans
WHERE location LIKE '%Hualien%' AND plan_type LIKE '%Earthquake%';"""

76,"""List the disaster recovery resources available in Hualien, along with their availability status and distribution process.""","""SELECT resource_type, description, location, availability_status, distribution_process
FROM Disaster_Recovery_Resources
WHERE location LIKE '%Hualien%';"""

77,"""Find the safety procedures related to earthquake preparedness in Hualien, including their descriptions and responsible authorities.""","""SELECT procedure_type, description, responsible_authority
FROM Safety_Procedures
WHERE location LIKE '%Hualien%' AND procedure_type LIKE '%Earthquake%';"""

78,"""List the disaster training programs scheduled in Hualien for earthquake preparedness, including their descriptions and training dates.""","""SELECT program_type, description, training_date
FROM Disaster_Training_Programs
WHERE location LIKE '%Hualien%' AND program_type LIKE '%Earthquake%';"""

79,"""Show the details of donations received for the earthquake disaster in Hualien, including the donor, donation type, quantity, and distribution status.""","""SELECT d.donor_id, d.donation_type, d.quantity, d.distribution_status
FROM Donations d
JOIN Disaster_Information i ON d.recipient_org = i.disaster_id
WHERE i.location LIKE '%Hualien%' AND i.disaster_type = 'Earthquake';"""

80,"""List the resource centers in Hualien that have medical supplies available, along with their contact information.""","""SELECT location, contact_info
FROM Resource_Centers
WHERE location LIKE '%Hualien%' AND available_resources LIKE '%medical%';"""

81,"""Find the emergency response team assignments involving international aid organizations for the earthquake disaster in Hualien.""","""SELECT task_description, team_leader, team_members
FROM Emergency_Response_Team_Assignments
WHERE location LIKE '%Hualien%' AND task_description LIKE '%international aid%' AND task_description LIKE '%earthquake%';"""

82,"""Show the disaster relief fund allocations for international aid organizations assisting with the earthquake disaster in Hualien.""","""SELECT fund_type, amount_allocated, allocation_purpose, beneficiary_criteria
FROM Disaster_Relief_Fund_Allocation
WHERE allocation_purpose LIKE '%international aid%' AND allocation_purpose LIKE '%earthquake%' AND allocation_purpose LIKE '%Hualien%';"""

83,"""List the risk mitigation strategies related to earthquake preparedness in Hualien, along with their descriptions and implementation status.""","""SELECT strategy_type, description, implementation_status
FROM Risk_Mitigation_Strategies
WHERE location LIKE '%Hualien%' AND strategy_type LIKE '%Earthquake%';"""

84,"""Find the government alerts issued for Hualien related to earthquake disasters, including their severity and instructions given.""","""SELECT alert_type, severity, instructions_given
FROM Government_Alerts
WHERE affected_area LIKE '%Hualien%' AND alert_type LIKE '%Earthquake%';"""

85,"""Show the public safety announcements made in Hualien during the earthquake disaster, including their message and audience reach.""","""SELECT announcement_type, message, audience_reach
FROM Public_Safety_Announcements
WHERE location LIKE '%Hualien%' AND announcement_type LIKE '%Earthquake%';"""

86,"""What were the maximum tsunami heights observed in different places in Taiwan after the 2024 Hualien earthquake?""","""SELECT location, maximum_tsunami_height
FROM Tsunami_Data
WHERE event_name = '2024 Hualien earthquake';"""

87,"""How many landslides were recorded in Taiwan following the 2024 Hualien earthquake?""","""SELECT COUNT(*)
FROM Landslide_Data
WHERE event_name = '2024 Hualien earthquake';"""

88,"""What was the total damage to agriculture in Hualien County after the 2024 Hualien earthquake?""","""SELECT SUM(damage_amount)
FROM Agricultural_Damage
WHERE county = 'Hualien' AND event_name = '2024 Hualien earthquake';"""

89,"""How many people were stranded or trapped in Taiwan after the 2024 Hualien earthquake?""","""SELECT SUM(number_of_people)
FROM Stranded_People
WHERE event_name = '2024 Hualien earthquake';"""

90,"""What was the total damage to public infrastructure in Taiwan after the 2024 Hualien earthquake?""","""SELECT SUM(damage_amount)
FROM Public_Infrastructure_Damage
WHERE event_name = '2024 Hualien earthquake';"""

91,"""How many aftershocks were recorded in Taiwan following the 2024 Hualien earthquake?""","""SELECT COUNT(*)
FROM Aftershock_Data
WHERE main_event_name = '2024 Hualien earthquake';"""

92,"""What was the total amount of donations received for the 2024 Hualien earthquake relief efforts?""","""SELECT SUM(donation_amount)
FROM Earthquake_Donations
WHERE event_name = '2024 Hualien earthquake';"""

93,"""How many buildings were damaged or collapsed in Hualien City after the 2024 Hualien earthquake?""","""SELECT COUNT(*)
FROM Building_Damage
WHERE city = 'Hualien' AND event_name = '2024 Hualien earthquake';"""

94,"""How many people were evacuated from their homes in Taiwan after the 2024 Hualien earthquake?""","""SELECT SUM(number_of_people)
FROM Evacuated_People
WHERE event_name = '2024 Hualien earthquake';"""

95,"""What was the total amount of disaster relief funding allocated by the Taiwanese government for the 2024 Hualien earthquake?""","""SELECT SUM(funding_amount)
FROM Disaster_Relief_Funding
WHERE event_name = '2024 Hualien earthquake';"""

96,"""How many schools were damaged in Taiwan after the 2024 Hualien earthquake?""","""SELECT COUNT(*)
FROM School_Damage
WHERE event_name = '2024 Hualien earthquake';"""

97,"""What was the total amount of economic losses in Taiwan after the 2024 Hualien earthquake?""","""SELECT SUM(economic_loss)
FROM Economic_Loss
WHERE event_name = '2024 Hualien earthquake';"""

98,"""How many people were injured in Taroko National Park after the 2024 Hualien earthquake?""","""SELECT COUNT(*)
FROM Injured_People
WHERE location = 'Taroko National Park' AND event_name = '2024 Hualien earthquake';"""

99,"""What are the recent tweets about the typhoon disaster in Japan, along with their sentiment scores?""","""SELECT tweet_text, sentiment_score
FROM Disaster_Tweets
WHERE location LIKE '%Japan%' AND tweet_text LIKE '%typhoon%'
ORDER BY timestamp DESC;"""

100,"""Retrieve the tweets with the highest retweet count related to the typhoon disaster in Japan.""","""SELECT tweet_text, retweet_count
FROM Disaster_Tweets
WHERE location LIKE '%Japan%' AND tweet_text LIKE '%typhoon%'
ORDER BY retweet_count DESC
LIMIT 3;"""

101,"""List the types of natural disasters that have affected the Tokyo area, along with the affected population and relief status for each disaster.""","""SELECT d.disaster_type, d.affected_population, d.relief_status
FROM Disaster_Information d
WHERE d.location LIKE '%Tokyo%';"""

102,"""Show the infrastructure status for the areas affected by the most recent earthquake in Japan.""","""SELECT d.affected_areas, d.infrastructure_status
FROM Damage_Assessment d
WHERE d.damage_type = 'Earthquake' AND d.location LIKE '%Japan%'
ORDER BY d.timestamp DESC
LIMIT 1;"""

103,"""Find the emergency contacts who can provide psychological support services in Seoul.""","""SELECT contact_info, organization_name, designation
FROM Emergency_Contacts
WHERE location LIKE '%Seoul%' AND contact_type LIKE '%Psychological Support%';"""

104,"""List the community support services offering counseling services in Busan, along with their service hours.""","""SELECT service_type, description, service_hours
FROM Community_Support_Services
WHERE location LIKE '%Busan%' AND description LIKE '%counseling%';"""

105,"""Show the emergency response plans for typhoon disasters in Japan, including their descriptions and responsible agencies.""","""SELECT plan_type, description, responsible_agency
FROM Emergency_Response_Plans
WHERE location LIKE '%Japan%' AND plan_type LIKE '%Typhoon%';"""

