SlNo,Natural_Language_Questions,SQL_Query
1,"""What are the most recent tweets about the typhoon disaster in Kaohsiung City, along with their sentiment scores and retweet/favorite counts?""","""SELECT tweet_text, sentiment_score, retweet_count, favorite_count
FROM Disaster_Tweets
WHERE location LIKE '%Kaohsiung City%' AND tweet_text LIKE '%typhoon%'
ORDER BY timestamp DESC
LIMIT 5;"""
2,"""Retrieve the tweets with the highest retweet count related to the typhoon disaster in Kaohsiung City.""","""SELECT tweet_text, retweet_count
FROM Disaster_Tweets
WHERE location LIKE '%Kaohsiung City%' AND tweet_text LIKE '%typhoon%'
ORDER BY retweet_count DESC
LIMIT 3;"""
3,"""List the types of natural disasters that have affected the Tainan City area, along with the affected population and relief status for each disaster.""","""SELECT d.disaster_type, d.affected_population, d.relief_status
FROM Disaster_Information d
WHERE d.location LIKE '%Tainan City%';"""
4,"""Show the infrastructure status for the areas affected by the most recent flood disaster.""","""SELECT d.affected_areas, d.infrastructure_status
FROM Damage_Assessment d
WHERE d.damage_type = 'Flood'
ORDER BY d.timestamp DESC
LIMIT 1;"""
5,"""Find the emergency contacts who can provide psychological support services in Tainan City.""","""SELECT contact_info, organization_name, designation
FROM Emergency_Contacts
WHERE location LIKE '%Tainan City%' AND contact_type LIKE '%Psychological Support%';"""
6,"""List the community support services offering counseling services in Kaohsiung City, along with their service hours.""","""SELECT service_type, description, service_hours
FROM Community_Support_Services
WHERE location LIKE '%Kaohsiung City%' AND description LIKE '%counseling%';"""
7,"""Show the emergency response plans for earthquake disasters in Hualien County, including their descriptions and responsible agencies.""","""SELECT plan_type, description, responsible_agency
FROM Emergency_Response_Plans
WHERE location LIKE '%Hualien County%' AND plan_type LIKE '%Earthquake%';"""
8,"""List the disaster recovery resources available in Yilan County, along with their availability status and distribution process.""","""SELECT resource_type, availability_status, distribution_process
FROM Disaster_Recovery_Resources
WHERE location LIKE '%Yilan County%';"""
9,"""Find the safety procedures related to earthquake preparedness in Tainan City, including their descriptions and responsible authorities.""","""SELECT procedure_type, description, responsible_authority
FROM Safety_Procedures
WHERE location LIKE '%Tainan City%' AND procedure_type LIKE '%Earthquake%';"""
10,"""List the disaster training programs scheduled in Hsinchu County for typhoon preparedness, including their descriptions and training dates.""","""SELECT program_type, description, training_date
FROM Disaster_Training_Programs
WHERE location LIKE '%Hsinchu County%' AND program_type LIKE '%Typhoon%';"""
11,"""Show the details of donations received for the earthquake disaster in Hualien County, including the donor, donation type, quantity, and distribution status.""","""SELECT d.donor_id, d.donation_type, d.quantity, d.distribution_status
FROM Donations d
JOIN Disaster_Information i ON d.recipient_org = i.disaster_id
WHERE i.location LIKE '%Hualien County%' AND i.disaster_type = 'Earthquake';"""
